Iteration      Convergence_norm
    1          0.3202859
    2          0.1787927
    3          0.1345107
    4          0.0938347
    5          0.0755622
    6          0.0614715
    7          0.0490648
    8          0.0396367
    9          0.0332163
   10          0.0288585
   11          0.0248489
   12          0.0213023
   13          0.0182221
   14          0.0155704
   15          0.0132974
   16          0.0113531
   17          0.0096918
   18          0.0082730
   19          0.0070617
   20          0.0060276
   21          0.0051450
   22          0.0043915
   23          0.0037484
   24          0.0031994
   25          0.0027309
   26          0.0023310
   27          0.0019896
   28          0.0016982
   29          0.0014496
   30          0.0012373
   31          0.0010561
   32          0.0009014
   33          0.0007694
   34          0.0006568
   35          0.0005606
   36          0.0004784
   37          0.0004084
   38          0.0003486
   39          0.0002975
   40          0.0002540
   41          0.0002168
   42          0.0001850
   43          0.0001579
   44          0.0001348
   45          0.0001151
   46          0.0000982
   47          0.0000838
   48          0.0000716
   49          0.0000611
   50          0.0000522
   51          0.0000445
   52          0.0000380
   53          0.0000324
   54          0.0000277
   55          0.0000236
   56          0.0000202
   57          0.0000172
   58          0.0000147
   59          0.0000126
   60          0.0000107
   61          0.0000091
